"method","p_scalar","R","n_rep","metric","mean","sd","se"
"histogram",60,2,30,"normalized_l1",16.5046709900952,0.398240040330361,0.0727083511302352
"histogram",60,4,30,"normalized_l1",15.5887136235683,0.284971691248768,0.0520284745157826
"histogram",60,6,30,"normalized_l1",14.8646762090129,0.173053978726991,0.0315951892715974
"histogram",60,8,30,"normalized_l1",13.9399402854785,0.170515484592753,0.0311317257717917
"histogram",80,2,30,"normalized_l1",18.1776844563777,0.25931978803274,0.0473450991709966
"histogram",80,4,30,"normalized_l1",17.6784253204292,0.20987695222065,0.0383181136772279
"histogram",80,6,30,"normalized_l1",17.0548126715225,0.168474678218597,0.0307591272095834
"histogram",80,8,30,"normalized_l1",16.5068958569907,0.129287173689254,0.0236045004752309
"histogram",100,2,30,"normalized_l1",19.3714152655318,0.267509386972268,0.0488403085296965
"histogram",100,4,30,"normalized_l1",18.9205640118407,0.150390581500123,0.0274574379746454
"histogram",100,6,30,"normalized_l1",18.4962000888005,0.117802762270664,0.0215077434106871
"histogram",100,8,30,"normalized_l1",18.0721796459327,0.11728402349885,0.0214130351017621
"histogram",120,2,30,"normalized_l1",20.0240803068103,0.181300851634957,0.0331008553784545
"histogram",120,4,30,"normalized_l1",19.7107576593633,0.118224873900825,0.0215848100978952
"histogram",120,6,30,"normalized_l1",19.3772932046314,0.0984014410821031,0.0179655629905612
"histogram",120,8,30,"normalized_l1",19.0783845676258,0.0842758139409525,0.015386588115856
"oracle",60,2,30,"normalized_l1",1.46489948586183,0.457025377460839,0.0834410361958716
"oracle",60,4,30,"normalized_l1",1.49372759263154,0.0420394445710184,0.00767531736551163
"oracle",60,6,30,"normalized_l1",1.62170127435021,0.0257436302444103,0.00470012233231192
"oracle",60,8,30,"normalized_l1",1.80960681317077,0.0537277851935298,0.00980930663842945
"oracle",80,2,30,"normalized_l1",1.40132750677659,0.0489514144513298,0.0089372646389259
"oracle",80,4,30,"normalized_l1",1.51773569860822,0.0477154823011005,0.00871161533285041
"oracle",80,6,30,"normalized_l1",1.60649556799078,0.0394121305105937,0.00719563763999658
"oracle",80,8,30,"normalized_l1",1.74611962813178,0.0377841742433628,0.00689841484993183
"oracle",100,2,30,"normalized_l1",1.51182006132491,0.545146976002106,0.099529765304027
"oracle",100,4,30,"normalized_l1",1.51098046837046,0.0380814578800506,0.0069526911678622
"oracle",100,6,30,"normalized_l1",1.61838008372654,0.0336462895662263,0.00614294392392428
"oracle",100,8,30,"normalized_l1",1.73187100584581,0.0384821898799474,0.0070258544864814
"oracle",120,2,30,"normalized_l1",1.63996820780351,0.798122309330884,0.14571653082288
"oracle",120,4,30,"normalized_l1",1.5186820800422,0.0278566537880451,0.00508590588544135
"oracle",120,6,30,"normalized_l1",1.62274760926879,0.0318279363606795,0.00581095956786101
"oracle",120,8,30,"normalized_l1",1.73201469973226,0.0359287154790761,0.00655965597669167
"oracle_cp",60,2,30,"normalized_l1",8.62997880561559,4.44148663779555,0.810900806792801
"oracle_cp",60,4,30,"normalized_l1",6.15175945791004,3.80494447399388,0.694684639487026
"oracle_cp",60,6,30,"normalized_l1",5.40214524478788,1.46178888531453,0.266884915599034
"oracle_cp",60,8,30,"normalized_l1",4.48273780425595,1.10612560062665,0.201949980965722
"oracle_cp",80,2,30,"normalized_l1",10.8331454780839,6.12918443683466,1.11903085838798
"oracle_cp",80,4,30,"normalized_l1",7.58338476126319,3.49120106500329,0.637403192029454
"oracle_cp",80,6,30,"normalized_l1",4.95511343506545,1.3203265668023,0.241057547970325
"oracle_cp",80,8,30,"normalized_l1",4.22975338340135,0.795958976790062,0.145321562145549
"oracle_cp",100,2,30,"normalized_l1",8.89650702103228,4.06264730817251,0.741734524624575
"oracle_cp",100,4,30,"normalized_l1",7.39497867788886,2.70180890658487,0.493280561401634
"oracle_cp",100,6,30,"normalized_l1",6.01491200419802,1.82413858471617,0.333040616954866
"oracle_cp",100,8,30,"normalized_l1",5.00225450226506,1.35992016364715,0.248286316678554
"oracle_cp",120,2,30,"normalized_l1",8.80168218819682,5.4945416079036,1.00316146059984
"oracle_cp",120,4,30,"normalized_l1",7.61112669339326,1.94609157728025,0.3553060852824
"oracle_cp",120,6,30,"normalized_l1",5.74077347872038,1.6651466281619,0.304012789932647
"oracle_cp",120,8,30,"normalized_l1",4.48874741931216,0.919386130709913,0.167856174282404
"slice_est",60,2,30,"normalized_l1",1.40285922498182,0.0549631726236931,0.0100348564926824
"slice_est",60,4,30,"normalized_l1",1.48991476291061,0.0403528284841981,0.00736738480664409
"slice_est",60,6,30,"normalized_l1",1.56875339231185,0.0257807174897492,0.00470689350593454
"slice_est",60,8,30,"normalized_l1",1.71759219926178,0.0774024074853138,0.0141316815283044
"slice_est",80,2,30,"normalized_l1",1.42777489920325,0.0459776035073751,0.00839432352700599
"slice_est",80,4,30,"normalized_l1",1.50342610595134,0.0404732146768434,0.00738936421775211
"slice_est",80,6,30,"normalized_l1",1.55456688720589,0.0318015996638413,0.0058061511668782
"slice_est",80,8,30,"normalized_l1",1.64097318486837,0.0253061957154387,0.00462025807932879
"slice_est",100,2,30,"normalized_l1",1.42893999640849,0.0380259982017521,0.00694256566225017
"slice_est",100,4,30,"normalized_l1",1.50965314860663,0.0400467611624902,0.00731150481457257
"slice_est",100,6,30,"normalized_l1",1.54543121475588,0.0265992186574925,0.0048563306902403
"slice_est",100,8,30,"normalized_l1",1.61710599373291,0.0210578307990506,0.00384461631358901
"slice_est",120,2,30,"normalized_l1",1.42989807668601,0.0483812562663133,0.00883316847249933
"slice_est",120,4,30,"normalized_l1",1.50081572750769,0.0327530340535715,0.00597985852595867
"slice_est",120,6,30,"normalized_l1",1.55764236825428,0.0289960964913669,0.00529393870930602
"slice_est",120,8,30,"normalized_l1",1.61500414219012,0.0212431771974377,0.00387845578137201
"slice_oracle",60,2,30,"normalized_l1",1.40895483513893,0.0560941369576712,0.0102413413851669
"slice_oracle",60,4,30,"normalized_l1",1.4931947805688,0.0410585016747308,0.00749622251487124
"slice_oracle",60,6,30,"normalized_l1",1.56975922693209,0.0247899858131179,0.00452601147669257
"slice_oracle",60,8,30,"normalized_l1",1.72153144569745,0.0767680356044693,0.0140158615986425
"slice_oracle",80,2,30,"normalized_l1",1.4341484814805,0.0478428059854879,0.00873486135086497
"slice_oracle",80,4,30,"normalized_l1",1.5066423238162,0.0415830867827672,0.00759199821387218
"slice_oracle",80,6,30,"normalized_l1",1.55672728315137,0.0316228301722813,0.00577351247250448
"slice_oracle",80,8,30,"normalized_l1",1.64375135831393,0.0276769561978005,0.00505309774420591
"slice_oracle",100,2,30,"normalized_l1",1.43598283274454,0.0376912927468007,0.00688145708631787
"slice_oracle",100,4,30,"normalized_l1",1.51282281795505,0.0399714298275757,0.00729775125743268
"slice_oracle",100,6,30,"normalized_l1",1.54726519559747,0.0265574770520964,0.00484870975061966
"slice_oracle",100,8,30,"normalized_l1",1.61911766691449,0.0210924043273411,0.0038509285473681
"slice_oracle",120,2,30,"normalized_l1",1.43788107937372,0.0480488515194,0.00877247994646392
"slice_oracle",120,4,30,"normalized_l1",1.50396167662389,0.0330316977689562,0.0060307353269168
"slice_oracle",120,6,30,"normalized_l1",1.55988158913691,0.0290568291839323,0.00530502693120471
"slice_oracle",120,8,30,"normalized_l1",1.61661404544713,0.0212936869519169,0.00388767755867277
"unscaled",60,2,30,"normalized_l1",1.72398373156624,0.0862597387139311,0.0157488015660406
"unscaled",60,4,30,"normalized_l1",1.68679696965281,0.0898219395952398,0.0163991674917264
"unscaled",60,6,30,"normalized_l1",1.79573636784712,0.0915163549638444,0.0167085239981158
"unscaled",60,8,30,"normalized_l1",2.02360379061786,0.158088480484298,0.0288628756143217
"unscaled",80,2,30,"normalized_l1",1.80701941888616,0.0987729205473329,0.0180333855514799
"unscaled",80,4,30,"normalized_l1",1.70265061842565,0.0605296624043939,0.011051153832353
"unscaled",80,6,30,"normalized_l1",1.7209951059804,0.0603559312296656,0.0110194350045728
"unscaled",80,8,30,"normalized_l1",1.86365961752012,0.0874581369864527,0.0159675981549523
"unscaled",100,2,30,"normalized_l1",1.78069485404628,0.081439601248572,0.0148687688926896
"unscaled",100,4,30,"normalized_l1",1.71601147971167,0.0401511697260491,0.00733056712305854
"unscaled",100,6,30,"normalized_l1",1.71797363853284,0.0437397707552371,0.00798575303424938
"unscaled",100,8,30,"normalized_l1",1.76272431727669,0.0493709615917167,0.00901386311650148
"unscaled",120,2,30,"normalized_l1",1.78070186988899,0.0688542790783942,0.0125710139439975
"unscaled",120,4,30,"normalized_l1",1.72360623395296,0.034927152292844,0.00637679639340298
"unscaled",120,6,30,"normalized_l1",1.73012625816649,0.0431013645211348,0.00786919653582614
"unscaled",120,8,30,"normalized_l1",1.7484498585757,0.031803286710671,0.00580645917807959
